pubs/subs,registries,average,sub messages
1/1,1,0.000344,1200
2/1,1,0.00036514,1000
3/1,1,0.00044863,2000
4/1,1,0.00056344,1000
5/1,1,0.00049031,1000
10/1,1,0.0008384,1000
20/1,1,0.00122421,500
