pubs/subs,brokers,registries,average,sub messages
5/5,1,1,0.00089743,500
5/5,2,1,0.00086485,500
5/5,4,1,0.00092979,500
5/5,6,1,0.00089973,2500
5/5,8,1,0.00087863,2000
5/5,10,1,0.00093811,500
