pubs/subs,registries,average,sub messages
1/1,1,0.00089027,2000
1/2,1,0.00103308,1000
1/3,1,0.00114423,2000
1/4,1,0.00110472,2000
1/5,1,0.00136872,4000
1/10,1,0.00188706,10000
1/20,1,0.00215415,13000
