pubs/subs,registries,average,sub messages
1/1,1,0.00039488,2125
2/2,1,0.00027132,2000
3/3,1,0.00082968,3000
4/4,1,0.00075415,3000
5/5,1,0.00076243,10000
10/10,1,0.00160744,10000
20/20,1,0.01333375,20000
